index,neighbourhood,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price
175,Galindo,78704,30.23447,-97.76755,Apartment,Private room,16,,10,10,700
176,MLK & 183,78721,30.25866,-97.68761,House,Private room,2,1.5,1,1,100
177,East Downtown,78702,30.27374,-97.71887,Condominium,Private room,2,1,1,1,67
178,Barton Hills,78746,30.261,-97.79197,Loft,Entire home/apt,3,1.5,1,1,400
179,East Downtown,78702,30.2628,-97.72499,Apartment,Entire home/apt,3,1,1,2,222
180,Oak Hill,78735,30.25264,-97.87296,Apartment,Entire home/apt,2,1,1,1,300
181,East Downtown,78702,30.26496,-97.71496,House,Entire home/apt,10,2,4,6,750
182,Bouldin Creek,78704,30.24754,-97.75855,House,Private room,3,1,1,1,120
183,West Congress,78745,30.21698,-97.77233,House,Entire home/apt,5,2,2,2,250
184,West Congress,78745,30.20962,-97.77531,House,Entire home/apt,9,2,3,5,240
185,East Downtown,78702,30.2537,-97.73116,House,Entire home/apt,6,2,3,5,450
186,East Downtown,78702,30.25185,-97.73104,House,Entire home/apt,4,1,1,1,135
187,Angus Valley,78759,30.41699,-97.7544,House,Private room,1,1,1,1,32
188,Holly,78702,30.2582,-97.72019,House,Entire home/apt,3,,2,1,400
189,South Manchaca,78745,30.20633,-97.79218,House,Entire home/apt,4,1,2,1,120
190,MLK & 183,78721,30.26912,-97.68767,House,Entire home/apt,4,1,1,2,79
191,Bouldin Creek,78704,30.25035,-97.75722,House,Entire home/apt,4,2,2,2,370
192,Downtown,78701,30.27105,-97.74933,Apartment,Entire home/apt,6,1,2,3,299
193,Travis Heights,78704,30.24547,-97.74739,House,Entire home/apt,6,2,3,3,295
194,Bouldin Creek,78704,30.24836,-97.76186,Bungalow,Entire home/apt,6,1,2,4,165
195,Zilker,78704,30.25702,-97.76414,House,Entire home/apt,5,2,3,3,582
196,Barton Hills,78704,30.2613,-97.78031,House,Entire home/apt,8,3,4,5,580
197,Clarksville,78703,30.28455,-97.76286,House,Entire home/apt,5,1,2,2,445
198,Old West Austin,78703,30.27434,-97.75466,House,Entire home/apt,8,2,3,3,302
199,Clarksville,78703,30.28226,-97.76035,Apartment,Entire home/apt,6,2,2,2,156
